TimeStamp,Humidity
12:00 AM,41.6
12:01 AM,41.5
12:02 AM,41.6
12:03 AM,41.7
12:04 AM,41.7
12:05 AM,41.7
12:06 AM,41.7
12:07 AM,41.7
12:08 AM,41.7
12:09 AM,41.7
12:10 AM,41.7
12:11 AM,41.7
12:12 AM,41.7
12:13 AM,41.7
12:14 AM,41.7
12:15 AM,41.7
12:16 AM,41.8
12:17 AM,41.8
12:18 AM,41.8
12:19 AM,41.8
12:20 AM,41.8
12:21 AM,41.7
12:22 AM,41.7
12:23 AM,41.7
12:24 AM,41.7
12:25 AM,41.7
12:26 AM,41.7
12:27 AM,41.8
12:28 AM,41.7
12:29 AM,41.7
12:30 AM,41.7
12:31 AM,41.7
12:32 AM,41.7
12:33 AM,41.6
12:34 AM,41.5
12:35 AM,41.5
12:36 AM,41.5
12:37 AM,41.4
12:38 AM,41.3
12:39 AM,41.5
12:40 AM,41.9
12:41 AM,41.9
12:42 AM,42.2
12:43 AM,42.3
12:44 AM,42.3
12:45 AM,42.3
12:46 AM,42.3
12:47 AM,42.2
12:48 AM,42.2
12:49 AM,42.1
12:50 AM,42.1
12:51 AM,42.1
12:52 AM,42.1
12:53 AM,42
12:54 AM,41.9
12:55 AM,41.9
12:56 AM,41.9
12:57 AM,41.9
12:58 AM,41.9
12:59 AM,41.8
1:00 AM,41.8
1:01 AM,41.8
1:02 AM,41.8
1:03 AM,41.8
1:04 AM,42.1
1:05 AM,41.7
1:06 AM,41.7
1:07 AM,41.8
1:08 AM,41.7
1:09 AM,41.8
1:10 AM,41.8
1:11 AM,41.7
1:12 AM,41.8
1:13 AM,41.8
1:14 AM,41.8
1:15 AM,41.7
1:16 AM,41.7
1:17 AM,41.7
1:18 AM,41.7
1:19 AM,41.7
1:20 AM,41.8
1:21 AM,41.7
1:22 AM,41.7
1:23 AM,41.7
1:24 AM,41.7
1:25 AM,41.6
1:26 AM,41.7
1:27 AM,41.7
1:28 AM,41.6
1:29 AM,41.6
1:30 AM,41.5
1:31 AM,41.5
1:32 AM,41.6
1:33 AM,41.4
1:34 AM,41.5
1:35 AM,41.5
1:36 AM,41.5
1:37 AM,41.4
1:38 AM,41.4
1:39 AM,41.4
1:40 AM,41.4
1:41 AM,41.4
1:42 AM,41.4
1:43 AM,41.4
1:44 AM,41.4
1:53 AM,41.6
1:54 AM,41.7
1:55 AM,41.7
1:56 AM,41.7
1:57 AM,41.8
1:58 AM,41.8
1:59 AM,41.8
2:00 AM,41.8
4:09 AM,46.3
5:30 AM,48
5:31 AM,47.8
6:10 AM,37.8
2:14 PM,47.2
2:15 PM,47.2
2:16 PM,48.1
2:17 PM,48.1
2:18 PM,48
2:19 PM,47.5
2:20 PM,46.9
2:21 PM,46.8
2:28 PM,45.8
2:29 PM,44.8
2:32 PM,44.9
3:30 PM,41.9
3:31 PM,41.8
3:32 PM,42.6
3:33 PM,49.3
3:34 PM,57.9
3:35 PM,65.5
3:36 PM,71
3:37 PM,23.7
3:38 PM,80.2
3:39 PM,80.3
3:40 PM,79
5:05 PM,47.8
5:06 PM,48.1
5:07 PM,48.2
5:08 PM,48.4
5:09 PM,48.4
5:10 PM,48.8
5:11 PM,48.8
5:12 PM,49
5:13 PM,49.2
5:14 PM,49.4
5:15 PM,49.5
5:16 PM,49.6
5:17 PM,50
5:18 PM,50
5:19 PM,50.3
5:20 PM,50.3
5:21 PM,50.6
5:22 PM,50.9
5:23 PM,50.8
5:24 PM,51.1
5:25 PM,51.3
5:26 PM,51.4
5:27 PM,51.5
5:28 PM,51.7
5:29 PM,51.7
5:30 PM,51.8
5:31 PM,51.9
5:32 PM,52
5:33 PM,52.2
5:34 PM,52.2
5:35 PM,52.3
5:36 PM,52.3
5:37 PM,52.4
5:38 PM,52.5
5:39 PM,52.4
5:40 PM,52.6
5:41 PM,52.6
5:42 PM,52.6
5:43 PM,52.7
5:44 PM,52.7
5:45 PM,52.9
5:46 PM,52.9
5:47 PM,52.8
5:48 PM,53
5:49 PM,53
5:50 PM,53.1
5:51 PM,53.2
5:52 PM,52.3
5:53 PM,52.2
5:54 PM,51.2
5:55 PM,50.4
5:56 PM,46.6
5:57 PM,46.5
5:58 PM,45.6
5:59 PM,46.3
6:00 PM,46.2
6:01 PM,46.2
6:02 PM,46.1
6:03 PM,46.4
6:04 PM,46.3
6:05 PM,46.6
6:06 PM,47.1
6:07 PM,47.6
6:08 PM,47.6
6:09 PM,47.7
6:10 PM,47.7
6:11 PM,48
6:12 PM,48
6:13 PM,47.9
6:14 PM,47.9
6:15 PM,47.9
6:16 PM,48
6:17 PM,48.1
6:18 PM,48.2
6:19 PM,48.3
6:20 PM,48.4
6:21 PM,48.5
6:22 PM,48.5
6:23 PM,48.2
6:24 PM,48.2
6:25 PM,48.2
6:26 PM,48.2
6:27 PM,48.2
6:28 PM,48.1
6:29 PM,48
6:30 PM,48
6:31 PM,47.8
6:32 PM,47.7
6:33 PM,47.7
6:34 PM,47.6
6:35 PM,47.5
6:36 PM,47.2
6:37 PM,47.4
6:38 PM,47.4
6:39 PM,47.3
6:40 PM,47.3
6:41 PM,47.2
6:42 PM,47.2
6:43 PM,47.2
6:44 PM,47.1
6:45 PM,47.1
6:46 PM,47.1
6:47 PM,47
6:48 PM,46.8
6:49 PM,46.8
6:50 PM,46.8
6:51 PM,46.7
6:52 PM,46.7
6:53 PM,46.7
6:54 PM,46.6
6:55 PM,46.6
6:56 PM,46.5
6:57 PM,46.6
6:58 PM,46.6
6:59 PM,46.5
7:00 PM,46.5
7:01 PM,46.5
7:02 PM,46.4
7:03 PM,46.5
7:04 PM,46.5
7:05 PM,46.4
7:06 PM,46.4
7:07 PM,46.4
7:08 PM,46.4
7:09 PM,46.3
7:10 PM,46.3
7:11 PM,46.2
7:12 PM,46.3
7:13 PM,46.3
7:14 PM,46.2
7:15 PM,46.2
7:16 PM,46.3
7:17 PM,46.2
7:18 PM,46.2
7:19 PM,46.3
7:20 PM,46.3
7:21 PM,46.2
7:22 PM,46.2
7:23 PM,46.2
7:24 PM,46.2
7:25 PM,46.2
7:26 PM,46.3
7:27 PM,46.3
7:28 PM,46.2
7:29 PM,46.2
7:30 PM,46.3
7:31 PM,46.3
7:32 PM,46.3
7:33 PM,46.3
7:34 PM,46.3
7:35 PM,46.2
7:36 PM,46.3
7:37 PM,46.2
7:38 PM,46.1
7:39 PM,46.1
7:40 PM,46.1
7:41 PM,46.1
7:42 PM,46
7:43 PM,46
7:44 PM,45.9
7:45 PM,45.9
7:46 PM,45.8
7:47 PM,45.8
7:48 PM,45.7
7:49 PM,45.7
7:50 PM,45.8
7:51 PM,45.7
7:52 PM,45.8
7:53 PM,45.6
7:54 PM,45.7
7:55 PM,45.7
7:56 PM,45.7
7:57 PM,45.6
7:58 PM,45.7
7:59 PM,45.6
8:00 PM,45.6
8:01 PM,45.6
8:02 PM,45.5
8:03 PM,45.4
8:04 PM,45.4
8:05 PM,45.5
8:06 PM,45.4
8:08 PM,45.5
8:09 PM,45.4
8:13 PM,45.3
8:14 PM,45.3
8:15 PM,45.3
8:34 PM,45.3
8:35 PM,45.3
8:36 PM,45.3
8:37 PM,45.3
8:38 PM,45.3
8:39 PM,45.3
8:40 PM,45.3
8:41 PM,45.3
8:42 PM,45.2
8:43 PM,45.3
8:44 PM,45.2
8:45 PM,45.2
8:46 PM,45.1
8:47 PM,45.1
8:48 PM,45.2
8:49 PM,45.2
8:50 PM,45.1
8:51 PM,45.1
8:52 PM,45.1
8:53 PM,45.1
8:54 PM,44.9
8:55 PM,45
8:56 PM,45
8:58 PM,45
9:01 PM,44.9
9:02 PM,44.9
9:03 PM,44.9
9:04 PM,44.9
9:05 PM,44.9
9:06 PM,44.9
9:07 PM,44.9
9:08 PM,44.9
9:09 PM,44.8
9:10 PM,44.8
9:11 PM,44.8
9:12 PM,44.8
9:13 PM,44.9
9:14 PM,44.8
9:15 PM,44.8
9:16 PM,44.8
9:17 PM,44.7
9:18 PM,44.7
9:19 PM,44.8
9:20 PM,44.7
9:21 PM,44.7
9:22 PM,44.7
9:30 PM,44.7
9:34 PM,44.7
9:35 PM,44.6
9:36 PM,44.6
9:37 PM,44.6
9:39 PM,44.6
9:40 PM,44.6
9:41 PM,44.6
9:42 PM,44.6
9:43 PM,44.6
9:44 PM,44.6
9:45 PM,44.6
9:46 PM,44.6
9:47 PM,44.5
9:51 PM,44.5
9:52 PM,44.5
9:53 PM,44.5
9:54 PM,44.5
9:55 PM,44.5
9:56 PM,44.5
9:58 PM,44.5
9:59 PM,44.4
10:00 PM,44.3
10:01 PM,44.4
10:02 PM,44.4
10:04 PM,44.4
10:05 PM,44.5
10:06 PM,44.4
10:07 PM,44.4
10:08 PM,44.3
10:09 PM,44.3
10:10 PM,44.3
10:11 PM,44.3
10:12 PM,44.4
10:13 PM,44.3
10:14 PM,44.3
10:15 PM,44.3
10:16 PM,44.3
10:17 PM,44.3
10:18 PM,44.3
10:20 PM,44.3
10:23 PM,44.3
10:24 PM,44.3
10:25 PM,44.3
10:26 PM,44.2
10:27 PM,44.2
10:28 PM,44.2
10:29 PM,44.2
10:30 PM,44.2
10:31 PM,44.2
10:32 PM,44.2
10:33 PM,44.3
10:34 PM,44.3
10:35 PM,44.3
10:36 PM,44.2
10:37 PM,44.2
10:38 PM,44.2
10:39 PM,44.2
10:49 PM,44.4
10:50 PM,44.4
10:51 PM,44.4
11:03 PM,44.5
11:57 PM,44.7
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
